,Date,Location,MinTemp,MaxTemp
157,2/11/2010,MountGinini,13.6,22.7
158,2/12/2010,MountGinini,13.6,17.0
159,2/13/2010,MountGinini,10.6,13.4
160,2/14/2010,MountGinini,9.8,13.5
161,2/15/2010,MountGinini,9.3,15.9
162,2/16/2010,MountGinini,6.7,17.9
163,2/17/2010,MountGinini,7.8,21.1
164,2/18/2010,MountGinini,7.4,17.2
165,2/19/2010,MountGinini,5.8,17.1
166,2/20/2010,MountGinini,9.0,19.1
167,2/21/2010,MountGinini,11.5,21.7
168,2/22/2010,MountGinini,12.4,19.9
169,2/23/2010,MountGinini,7.5,19.0
170,2/24/2010,MountGinini,4.5,17.7
171,2/25/2010,MountGinini,7.0,16.7
172,2/26/2010,MountGinini,3.8,19.8
175,12/1/2010,MountGinini,6.6,10.1
176,12/2/2010,MountGinini,6.6,13.7
177,12/3/2010,MountGinini,7.7,16.0
178,12/4/2010,MountGinini,9.2,16.8
179,12/5/2010,MountGinini,9.0,18.7
180,12/6/2010,MountGinini,9.0,16.3
181,12/7/2010,MountGinini,7.9,16.0
182,12/8/2010,MountGinini,9.7,14.9
183,12/9/2010,MountGinini,12.0,15.4
184,12/10/2010,MountGinini,7.6,12.8
185,12/11/2010,MountGinini,2.5,13.0
186,12/12/2010,MountGinini,5.4,12.2
187,12/13/2010,MountGinini,3.0,17.6
188,12/14/2010,MountGinini,6.9,16.7
189,12/15/2010,MountGinini,7.9,20.0
190,12/16/2010,MountGinini,8.3,16.7
191,12/17/2010,MountGinini,4.0,14.2
192,12/18/2010,MountGinini,4.5,6.3
193,12/19/2010,MountGinini,2.1,9.4
194,12/20/2010,MountGinini,-1.3,5.2
195,12/21/2010,MountGinini,-0.4,8.4
196,12/22/2010,MountGinini,2.1,15.9
197,12/23/2010,MountGinini,5.8,20.0
198,12/24/2010,MountGinini,6.3,19.3
199,12/25/2010,MountGinini,9.8,19.8
200,12/26/2010,MountGinini,10.4,19.7
201,12/27/2010,MountGinini,5.8,15.1
202,12/28/2010,MountGinini,1.1,14.7
203,12/29/2010,MountGinini,6.5,19.4
204,12/30/2010,MountGinini,9.5,22.6
205,12/31/2010,MountGinini,12.9,25.8
206,1/1/2011,MountGinini,16.9,25.8
207,1/2/2011,MountGinini,12.6,22.7
208,1/3/2011,MountGinini,7.9,18.6
209,1/4/2011,MountGinini,5.6,15.0
210,1/5/2011,MountGinini,6.5,19.6
211,1/6/2011,MountGinini,7.1,16.5
212,1/7/2011,MountGinini,8.9,19.0
213,1/8/2011,MountGinini,10.6,19.3
214,1/9/2011,MountGinini,11.2,16.7
215,1/10/2011,MountGinini,11.0,16.2
216,1/11/2011,MountGinini,9.5,13.4
217,1/12/2011,MountGinini,11.7,16.4
218,1/13/2011,MountGinini,13.0,15.0
219,1/14/2011,MountGinini,11.1,14.8
220,1/15/2011,MountGinini,11.6,23.2
221,1/16/2011,MountGinini,12.5,24.1
222,1/17/2011,MountGinini,14.2,20.6
223,1/18/2011,MountGinini,6.3,18.3
224,1/19/2011,MountGinini,7.9,19.9
225,1/20/2011,MountGinini,9.0,18.0
226,1/21/2011,MountGinini,9.5,21.5
227,1/22/2011,MountGinini,10.8,21.5
228,1/23/2011,MountGinini,9.1,21.0
229,1/24/2011,MountGinini,12.0,19.9
230,1/25/2011,MountGinini,9.5,22.4
231,1/26/2011,MountGinini,11.3,26.2
232,1/27/2011,MountGinini,13.0,24.1
233,1/28/2011,MountGinini,10.6,22.3
234,1/29/2011,MountGinini,7.1,21.3
235,1/30/2011,MountGinini,9.5,24.1
236,1/31/2011,MountGinini,15.1,28.0
237,2/1/2011,MountGinini,17.1,26.1
238,2/2/2011,MountGinini,15.5,23.2
239,2/3/2011,MountGinini,14.7,24.1
240,2/4/2011,MountGinini,16.4,23.1
241,2/5/2011,MountGinini,14.9,20.2
242,2/6/2011,MountGinini,11.2,11.9
243,2/7/2011,MountGinini,0.9,18.5
244,2/8/2011,MountGinini,7.0,16.0
245,2/9/2011,MountGinini,5.1,15.8
246,2/10/2011,MountGinini,7.9,19.6
247,2/11/2011,MountGinini,12.7,14.6
248,2/12/2011,MountGinini,11.3,17.8
249,2/13/2011,MountGinini,10.2,19.6
250,2/14/2011,MountGinini,4.0,15.3
251,2/15/2011,MountGinini,5.6,14.1
252,2/16/2011,MountGinini,6.8,13.1
253,2/17/2011,MountGinini,10.0,19.0
254,2/18/2011,MountGinini,11.1,18.7
255,2/19/2011,MountGinini,11.9,15.7
256,2/20/2011,MountGinini,9.0,16.4
257,2/21/2011,MountGinini,4.6,16.5
258,2/22/2011,MountGinini,1.7,15.5
259,2/23/2011,MountGinini,5.7,18.4
260,2/24/2011,MountGinini,9.1,19.0
261,2/25/2011,MountGinini,9.2,19.4
262,2/26/2011,MountGinini,9.1,19.0
263,2/27/2011,MountGinini,10.5,13.6
264,2/28/2011,MountGinini,10.1,18.4
265,12/1/2011,MountGinini,0.7,10.7
266,12/2/2011,MountGinini,0.9,10.7
267,12/3/2011,MountGinini,2.5,15.3
268,12/4/2011,MountGinini,5.2,14.3
269,12/5/2011,MountGinini,-3.0,9.3
270,12/6/2011,MountGinini,-0.8,10.5
271,12/7/2011,MountGinini,1.3,13.6
272,12/8/2011,MountGinini,3.3,13.5
273,12/9/2011,MountGinini,5.2,15.7
274,12/10/2011,MountGinini,6.2,14.9
275,12/11/2011,MountGinini,8.2,14.5
276,12/12/2011,MountGinini,6.5,15.7
277,12/13/2011,MountGinini,4.5,14.7
278,12/14/2011,MountGinini,1.8,11.8
279,12/15/2011,MountGinini,3.5,13.8
280,12/16/2011,MountGinini,5.4,13.8
281,12/17/2011,MountGinini,5.6,15.5
282,12/18/2011,MountGinini,5.6,15.2
283,12/19/2011,MountGinini,9.6,13.5
284,12/20/2011,MountGinini,7.1,18.3
285,12/21/2011,MountGinini,7.6,13.5
286,12/22/2011,MountGinini,6.2,16.0
287,12/23/2011,MountGinini,6.8,17.6
288,12/24/2011,MountGinini,8.9,19.7
289,12/25/2011,MountGinini,9.6,20.7
290,12/26/2011,MountGinini,9.5,14.5
291,12/27/2011,MountGinini,7.3,17.1
292,12/28/2011,MountGinini,6.6,15.1
293,12/29/2011,MountGinini,5.6,17.4
294,12/30/2011,MountGinini,4.7,15.7
295,12/31/2011,MountGinini,4.7,17.0
296,1/1/2012,MountGinini,9.8,21.6
297,1/2/2012,MountGinini,11.7,23.7
298,1/3/2012,MountGinini,15.3,25.0
299,1/4/2012,MountGinini,15.3,21.2
300,1/5/2012,MountGinini,8.3,19.9
301,1/6/2012,MountGinini,5.5,16.0
302,1/7/2012,MountGinini,4.7,20.0
303,1/8/2012,MountGinini,11.6,14.9
304,1/9/2012,MountGinini,5.9,12.5
305,1/10/2012,MountGinini,3.9,13.5
306,1/11/2012,MountGinini,1.4,3.8
307,1/12/2012,MountGinini,-1.3,14.0
308,1/13/2012,MountGinini,2.5,17.8
309,1/14/2012,MountGinini,6.3,17.5
310,1/15/2012,MountGinini,6.3,11.4
311,1/16/2012,MountGinini,6.6,16.2
312,1/17/2012,MountGinini,6.4,18.9
313,1/18/2012,MountGinini,9.7,21.0
314,1/19/2012,MountGinini,12.1,23.1
315,1/20/2012,MountGinini,10.3,23.4
316,1/21/2012,MountGinini,9.2,17.4
317,1/22/2012,MountGinini,7.7,14.2
318,1/23/2012,MountGinini,6.6,14.2
319,1/24/2012,MountGinini,5.3,18.3
320,1/25/2012,MountGinini,9.2,18.0
321,1/26/2012,MountGinini,9.8,19.4
322,1/27/2012,MountGinini,9.7,17.3
323,1/28/2012,MountGinini,9.0,20.1
324,1/29/2012,MountGinini,9.5,20.7
325,1/30/2012,MountGinini,12.6,15.7
326,1/31/2012,MountGinini,7.5,19.0
327,2/1/2012,MountGinini,4.1,10.9
328,2/2/2012,MountGinini,5.7,8.9
329,2/3/2012,MountGinini,6.0,11.8
330,2/4/2012,MountGinini,8.3,19.9
331,2/5/2012,MountGinini,9.7,20.5
332,2/6/2012,MountGinini,10.1,18.1
333,2/7/2012,MountGinini,6.6,16.6
334,2/8/2012,MountGinini,7.6,14.9
335,2/9/2012,MountGinini,8.0,13.0
336,2/10/2012,MountGinini,6.3,17.5
337,2/11/2012,MountGinini,6.2,14.7
338,2/12/2012,MountGinini,6.2,16.6
339,2/13/2012,MountGinini,6.2,18.3
340,2/14/2012,MountGinini,7.1,16.1
341,2/15/2012,MountGinini,6.9,17.2
342,2/16/2012,MountGinini,9.5,18.1
343,2/17/2012,MountGinini,10.0,20.3
344,2/18/2012,MountGinini,8.9,19.7
345,2/19/2012,MountGinini,9.8,18.9
346,2/20/2012,MountGinini,10.2,16.4
347,2/21/2012,MountGinini,6.7,15.6
348,2/22/2012,MountGinini,7.6,14.1
349,2/23/2012,MountGinini,8.2,19.0
350,2/24/2012,MountGinini,9.8,22.2
351,2/25/2012,MountGinini,11.6,22.3
352,2/26/2012,MountGinini,11.3,14.4
353,2/27/2012,MountGinini,11.9,14.9
354,2/28/2012,MountGinini,12.9,14.8
355,2/29/2012,MountGinini,11.1,12.0
356,1/1/2013,MountGinini,11.9,22.0
357,1/2/2013,MountGinini,11.3,23.7
358,1/3/2013,MountGinini,9.4,23.4
359,1/4/2013,MountGinini,14.4,26.3
360,1/5/2013,MountGinini,17.4,29.8
361,1/6/2013,MountGinini,16.8,30.5
362,1/7/2013,MountGinini,14.2,27.5
363,1/8/2013,MountGinini,16.9,25.8
364,1/9/2013,MountGinini,5.8,18.0
365,1/10/2013,MountGinini,4.0,20.2
366,1/11/2013,MountGinini,6.4,25.3
367,1/12/2013,MountGinini,13.8,26.7
368,1/13/2013,MountGinini,14.1,20.7
369,1/14/2013,MountGinini,0.7,13.4
370,1/15/2013,MountGinini,2.9,21.0
371,1/16/2013,MountGinini,11.1,24.6
372,1/17/2013,MountGinini,11.2,27.3
373,1/18/2013,MountGinini,18.8,30.0
374,1/19/2013,MountGinini,10.0,21.2
375,1/20/2013,MountGinini,7.6,22.1
376,1/21/2013,MountGinini,9.9,25.5
377,1/22/2013,MountGinini,13.2,25.2
378,1/23/2013,MountGinini,9.5,23.7
379,1/24/2013,MountGinini,8.6,22.4
380,1/25/2013,MountGinini,10.9,24.5
381,1/26/2013,MountGinini,12.1,24.1
382,1/27/2013,MountGinini,10.4,21.1
383,1/28/2013,MountGinini,11.4,16.4
384,1/29/2013,MountGinini,10.9,18.1
385,1/30/2013,MountGinini,6.9,19.5
386,1/31/2013,MountGinini,7.4,21.2
387,12/1/2013,MountGinini,3.3,16.3
388,12/2/2013,MountGinini,4.6,21.8
389,12/3/2013,MountGinini,11.5,23.3
390,12/4/2013,MountGinini,13.3,22.3
391,12/5/2013,MountGinini,2.4,4.8
392,12/6/2013,MountGinini,-2.5,10.1
393,12/7/2013,MountGinini,-0.4,16.9
394,12/8/2013,MountGinini,5.6,19.4
395,12/9/2013,MountGinini,10.6,21.5
396,12/10/2013,MountGinini,4.8,13.0
397,12/11/2013,MountGinini,2.3,12.6
398,12/12/2013,MountGinini,3.4,17.2
399,12/13/2013,MountGinini,7.5,19.6
400,12/14/2013,MountGinini,8.2,18.0
401,12/15/2013,MountGinini,6.6,19.6
402,12/16/2013,MountGinini,7.2,18.9
403,12/17/2013,MountGinini,8.2,22.2
404,12/18/2013,MountGinini,10.9,23.7
405,12/19/2013,MountGinini,12.7,25.4
406,12/20/2013,MountGinini,15.4,27.3
407,12/21/2013,MountGinini,13.9,24.7
408,12/22/2013,MountGinini,10.5,27.3
409,12/23/2013,MountGinini,12.5,16.6
410,12/24/2013,MountGinini,5.3,17.7
411,12/25/2013,MountGinini,6.4,14.8
412,12/26/2013,MountGinini,8.1,21.1
413,12/27/2013,MountGinini,6.5,19.9
414,12/28/2013,MountGinini,7.0,23.1
415,12/29/2013,MountGinini,10.5,22.5
416,12/30/2013,MountGinini,3.9,20.3
417,12/31/2013,MountGinini,7.5,20.6
418,1/1/2014,MountGinini,7.1,16.3
419,1/2/2014,MountGinini,9.3,16.9
420,1/3/2014,MountGinini,10.1,21.6
421,1/4/2014,MountGinini,4.2,16.5
422,1/5/2014,MountGinini,4.8,18.0
423,1/6/2014,MountGinini,2.1,15.5
424,1/7/2014,MountGinini,3.3,16.2
425,1/8/2014,MountGinini,3.0,15.5
426,1/9/2014,MountGinini,5.1,14.4
427,1/10/2014,MountGinini,6.1,17.0
428,1/11/2014,MountGinini,10.6,24.0
429,1/12/2014,MountGinini,12.9,27.5
430,1/13/2014,MountGinini,11.6,26.1
431,1/14/2014,MountGinini,14.5,29.0
432,1/15/2014,MountGinini,16.6,30.0
433,1/16/2014,MountGinini,17.8,30.7
434,1/17/2014,MountGinini,16.6,29.3
435,1/18/2014,MountGinini,17.4,31.1
436,1/19/2014,MountGinini,14.4,26.9
437,1/20/2014,MountGinini,10.3,18.5
438,1/21/2014,MountGinini,8.8,21.9
439,1/22/2014,MountGinini,8.2,20.0
440,1/23/2014,MountGinini,4.9,20.0
441,1/24/2014,MountGinini,8.2,11.5
442,1/25/2014,MountGinini,5.4,14.7
443,1/26/2014,MountGinini,2.2,17.0
444,1/27/2014,MountGinini,6.1,22.6
445,1/28/2014,MountGinini,12.0,24.7
446,1/29/2014,MountGinini,14.8,29.0
447,1/30/2014,MountGinini,14.3,29.5
448,1/31/2014,MountGinini,17.4,29.7
449,2/1/2014,MountGinini,16.2,30.0
450,2/2/2014,MountGinini,17.6,30.0
451,2/3/2014,MountGinini,17.2,29.9
452,2/4/2014,MountGinini,11.5,16.3
453,2/5/2014,MountGinini,2.4,15.0
454,2/6/2014,MountGinini,3.2,22.2
455,2/7/2014,MountGinini,10.1,25.8
456,2/8/2014,MountGinini,14.2,27.9
457,2/9/2014,MountGinini,16.7,28.5
458,2/10/2014,MountGinini,14.8,29.0
459,2/11/2014,MountGinini,11.1,27.5
460,2/12/2014,MountGinini,7.5,24.8
461,2/13/2014,MountGinini,10.5,23.5
462,2/14/2014,MountGinini,9.6,17.6
463,2/15/2014,MountGinini,11.3,14.9
464,2/16/2014,MountGinini,12.2,16.0
465,2/17/2014,MountGinini,5.9,18.8
466,2/18/2014,MountGinini,8.6,19.7
467,2/19/2014,MountGinini,12.2,19.2
468,2/20/2014,MountGinini,0.9,11.1
469,2/21/2014,MountGinini,2.2,18.5
470,2/22/2014,MountGinini,5.2,17.7
471,2/23/2014,MountGinini,5.9,18.3
472,2/24/2014,MountGinini,8.7,20.4
473,2/25/2014,MountGinini,10.1,21.4
474,2/26/2014,MountGinini,10.8,15.2
475,2/27/2014,MountGinini,10.5,15.8
476,2/28/2014,MountGinini,7.8,10.1
477,12/1/2014,MountGinini,9.0,21.6
478,12/2/2014,MountGinini,9.0,21.7
479,12/3/2014,MountGinini,11.7,20.2
480,12/4/2014,MountGinini,10.5,14.9
481,12/5/2014,MountGinini,9.2,19.5
482,12/6/2014,MountGinini,9.6,13.4
483,12/7/2014,MountGinini,7.0,15.8
484,12/8/2014,MountGinini,7.7,18.2
485,12/9/2014,MountGinini,8.7,20.4
486,12/10/2014,MountGinini,7.5,22.2
487,12/11/2014,MountGinini,6.0,11.2
488,12/12/2014,MountGinini,3.1,12.9
489,12/13/2014,MountGinini,3.1,14.8
490,12/14/2014,MountGinini,5.4,18.2
491,12/15/2014,MountGinini,9.0,21.8
492,12/16/2014,MountGinini,10.3,21.3
493,12/17/2014,MountGinini,5.7,18.2
494,12/18/2014,MountGinini,3.6,17.3
495,12/19/2014,MountGinini,2.9,16.1
496,12/20/2014,MountGinini,3.3,18.7
497,12/21/2014,MountGinini,7.6,21.2
498,12/22/2014,MountGinini,12.3,22.0
499,12/23/2014,MountGinini,10.1,18.4
500,12/24/2014,MountGinini,10.2,18.5
501,12/25/2014,MountGinini,11.6,19.0
502,12/26/2014,MountGinini,6.0,15.4
503,12/27/2014,MountGinini,3.8,14.3
504,12/28/2014,MountGinini,5.2,18.5
505,12/29/2014,MountGinini,8.7,16.9
506,12/30/2014,MountGinini,3.2,14.5
507,12/31/2014,MountGinini,6.4,19.6
508,1/1/2015,MountGinini,9.8,21.9
509,1/2/2015,MountGinini,10.1,25.4
510,1/3/2015,MountGinini,13.0,24.0
511,1/4/2015,MountGinini,14.1,22.4
512,1/5/2015,MountGinini,10.7,20.7
513,1/6/2015,MountGinini,11.1,18.8
514,1/7/2015,MountGinini,11.0,21.7
515,1/8/2015,MountGinini,13.0,23.5
516,1/9/2015,MountGinini,11.8,21.7
517,1/10/2015,MountGinini,11.5,17.4
518,1/11/2015,MountGinini,9.6,12.5
519,1/12/2015,MountGinini,7.1,16.5
520,1/13/2015,MountGinini,7.5,14.9
521,1/14/2015,MountGinini,10.0,13.3
522,1/15/2015,MountGinini,6.9,18.2
523,1/16/2015,MountGinini,6.0,16.2
524,1/17/2015,MountGinini,7.3,17.5
525,1/18/2015,MountGinini,6.6,18.5
526,1/19/2015,MountGinini,5.8,17.2
527,1/20/2015,MountGinini,5.8,14.5
528,1/21/2015,MountGinini,8.2,19.5
529,1/22/2015,MountGinini,9.7,19.9
530,1/23/2015,MountGinini,12.2,22.5
531,1/24/2015,MountGinini,14.3,20.8
532,1/25/2015,MountGinini,11.1,17.7
533,1/26/2015,MountGinini,5.3,14.2
534,1/27/2015,MountGinini,6.3,10.4
535,1/28/2015,MountGinini,5.7,13.4
536,1/29/2015,MountGinini,0.8,12.5
537,1/30/2015,MountGinini,1.9,11.7
538,1/31/2015,MountGinini,3.9,14.3
539,2/1/2015,MountGinini,6.8,14.9
540,2/2/2015,MountGinini,4.7,14.6
541,2/3/2015,MountGinini,3.7,18.5
542,2/4/2015,MountGinini,7.0,12.0
543,2/5/2015,MountGinini,5.8,18.4
544,2/6/2015,MountGinini,7.9,19.9
545,2/7/2015,MountGinini,9.7,22.4
546,2/8/2015,MountGinini,13.2,24.0
547,2/9/2015,MountGinini,9.3,14.6
548,2/10/2015,MountGinini,9.1,21.2
549,2/11/2015,MountGinini,10.8,19.6
550,2/12/2015,MountGinini,10.5,18.4
551,2/13/2015,MountGinini,9.6,17.6
552,2/14/2015,MountGinini,8.1,14.1
553,2/15/2015,MountGinini,9.0,17.3
554,2/16/2015,MountGinini,10.3,23.7
555,2/17/2015,MountGinini,12.0,22.0
556,2/18/2015,MountGinini,11.5,19.0
557,2/19/2015,MountGinini,8.9,18.8
558,2/20/2015,MountGinini,10.5,19.6
559,2/21/2015,MountGinini,10.3,20.0
560,2/22/2015,MountGinini,9.6,20.4
561,2/23/2015,MountGinini,9.8,23.7
562,2/24/2015,MountGinini,10.3,18.6
563,2/25/2015,MountGinini,8.7,11.6
564,2/26/2015,MountGinini,7.3,18.3
565,2/27/2015,MountGinini,8.6,19.0
566,2/28/2015,MountGinini,11.1,21.6
567,12/1/2015,MountGinini,9.8,23.1
568,12/2/2015,MountGinini,3.1,13.4
569,12/3/2015,MountGinini,1.8,17.0
570,12/4/2015,MountGinini,6.6,19.3
571,12/5/2015,MountGinini,9.4,20.8
572,12/6/2015,MountGinini,11.3,23.5
573,12/7/2015,MountGinini,10.9,19.7
574,12/8/2015,MountGinini,10.6,17.4
575,12/9/2015,MountGinini,10.9,18.6
576,12/10/2015,MountGinini,9.1,19.9
577,12/11/2015,MountGinini,9.0,15.7
578,12/12/2015,MountGinini,1.0,16.9
579,12/13/2015,MountGinini,2.5,17.8
580,12/14/2015,MountGinini,7.7,21.7
581,12/15/2015,MountGinini,10.5,19.9
582,12/16/2015,MountGinini,9.6,17.9
583,12/17/2015,MountGinini,6.3,20.9
584,12/18/2015,MountGinini,9.5,24.3
585,12/19/2015,MountGinini,14.9,25.5
586,12/20/2015,MountGinini,15.8,26.6
587,12/21/2015,MountGinini,11.9,17.3
588,12/22/2015,MountGinini,7.4,15.6
589,12/23/2015,MountGinini,5.3,14.2
590,12/24/2015,MountGinini,5.8,16.8
591,12/25/2015,MountGinini,4.5,17.9
592,12/26/2015,MountGinini,8.0,12.5
593,12/27/2015,MountGinini,3.0,13.7
594,12/28/2015,MountGinini,1.1,15.9
595,12/29/2015,MountGinini,6.8,20.6
596,12/30/2015,MountGinini,10.5,23.6
597,12/31/2015,MountGinini,12.2,24.9
598,1/1/2016,MountGinini,14.1,24.3
599,1/2/2016,MountGinini,12.9,16.5
600,1/3/2016,MountGinini,8.5,13.1
601,1/4/2016,MountGinini,6.6,9.3
602,1/5/2016,MountGinini,6.9,9.3
603,1/6/2016,MountGinini,6.9,11.3
604,1/7/2016,MountGinini,4.3,14.5
605,1/8/2016,MountGinini,6.1,19.3
606,1/9/2016,MountGinini,10.2,21.9
607,1/10/2016,MountGinini,12.0,24.4
608,1/11/2016,MountGinini,15.1,25.1
